Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10287","","","None","vtop2.vitap.ac.in","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.29.20 to 220.158.183.5 : 
192.168.29.20

An error was detected along the way.

An error was detected along the way.

An error was detected along the way.
192.168.29.1
10.12.112.1
172.31.2.18
192.168.59.120
172.26.74.70
172.26.75.130
192.168.60.226
?
115.247.148.70
103.120.29.73
220.158.183.1
220.158.183.2
220.158.183.5
?
220.158.183.5

Hop Count: 17
","","","","","","None","","","","1999/11/27","2023/06/26","","",""
"10386","","","None","vtop2.vitap.ac.in","tcp","8008","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    http://vtop2.vitap.ac.in:8008/dCiOnEjKppiw.html
","","","","","","None","","","","2000/04/28","2022/06/17","","",""
"10863","","","None","vtop2.vitap.ac.in","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: *.vitap.ac.in

Issuer Name: 

Country: GB
State/Province: Greater Manchester
Locality: Salford
Organization: Sectigo Limited
Common Name: Sectigo RSA Domain Validation Secure Server CA

Serial Number: 00 B2 94 85 BD F2 89 18 29 48 BF 84 7A 53 9D 05 3B 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 07 00:00:00 2023 GMT
Not Valid After: Aug 05 23:59:59 2024 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 83 F1 70 97 05 5D E1 43 8F EB EB 3F FC 05 D9 CE 2D 4B 23 
            39 3E B3 84 84 C3 D3 5A 9B C6 67 5C 11 C9 D6 4D D8 57 76 ED 
            F3 8D 63 B5 D4 E8 D5 C5 F4 24 38 91 C7 DC 76 49 F8 E7 E4 3D 
            62 F0 8A 6A B5 05 58 78 99 0D 91 30 48 DF 7A F4 D7 BB 88 C5 
            3F 88 DA 0A C2 DF 2C 93 FF 38 33 1B BA 0D 2F AE E8 C2 AC 28 
            C0 85 43 49 F8 03 AC AC DE 2E 99 70 9D 02 BE CE B4 6C 9D B4 
            C3 20 68 E9 FD 19 C7 B1 C0 08 D1 D2 66 6F 92 C7 6C BC 63 17 
            DF 88 0B BF 0C FE E3 04 F0 60 A0 28 EE F5 C4 BC DD 41 CE 01 
            37 93 D5 95 56 1D BA 98 60 26 30 32 2B 9E 3A 70 EF 2B 00 99 
            E0 32 5B CD 7F 57 8B 1E E8 56 0D 15 1E 97 69 CA 17 5F A7 66 
            07 F4 BF E6 D5 EE 73 F8 FE FF 51 04 AE B5 24 BB 8D 08 87 92 
            A6 E4 D0 4C 55 FD 0A 85 6D 25 B8 4A C6 D6 8F E0 88 04 D9 4F 
            51 B7 39 30 9A E9 89 A5 A9 69 BD 26 7F E7 EA 75 05 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 47 95 6D C6 F1 B1 B7 39 F9 89 37 B2 C9 E5 62 E0 36 9C 46 
           0C F2 76 65 23 6C 0A 38 C2 B7 80 4A 16 E8 CC ED 7B FB 3F 8A 
           38 F7 80 D9 06 E2 CB AA 32 E2 4E 05 94 D0 3E BF 3E 3F 20 A8 
           E4 0E 32 3A C7 8E 58 0E 7E 59 CB 02 CD B3 76 6D E9 70 95 5E 
           0D D3 50 4A 16 86 A0 84 99 51 D7 FC 22 06 5A 2F 69 33 E9 2E 
           C1 9A 40 1D 04 10 92 5D F9 9A AD 58 FC 0E EA 57 CE 62 71 29 
           E9 58 C3 21 E9 BB 7A 20 7A 6E 36 0B 48 EA 14 BA 17 AB D1 38 
           BA 1E 39 51 82 0F 74 8B C6 AB FD 4E 2A E0 13 A4 AB 5D B1 D3 
           13 5A 5F 2A AC B9 66 22 68 06 88 F7 A8 3B D9 34 3E 01 93 C9 
           2C 66 E6 80 AD 2A 7D 27 0F E0 E6 DB A1 A2 94 D5 BD 9E C2 C2 
           48 F0 2D 3B 0F 8E F4 28 DC 28 37 BE 96 1B 86 A1 1A 4B 3F 59 
           A6 57 0A 08 39 B9 5A 34 43 00 67 45 8A 90 81 B2 52 4B 1D E7 
           39 CC EC B3 D2 1C ED FE 72 18 31 21 AE 7F 0C D6 34 

Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 8D 8C 5E C4 54 AD 8A E1 77 E9 9B F9 9B 05 E1 B8 01 8D 61 E1 


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: C3 B1 D7 3F 0A BF 33 12 87 96 6C 49 A4 84 39 A1 84 9D 05 24 


Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Basic Constraints (2.5.29.19)
Critical: 1


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: Policies (2.5.29.32)
Critical: 0
Policy ID #1: 1.3.6.1.4.1.6449.1.2.2.7
Qualifier ID #1: Certification Practice Statement (1.3.6.1.5.5.7.2.1)
CPS URI: https://sectigo.com/CPS
Policy ID #2: 2.23.140.1.2.1


Extension: Authority Information Access (1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Certificate Authority Issuers
URI: http://crt.sectigo.com/SectigoRSADomainValidationSecureServerCA.crt
Method#2: Online Certificate Status Protocol
URI: http://ocsp.sectigo.com


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: *.vitap.ac.in
DNS: vitap.ac.in


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 82 01 67 01 65 00 75 00 76 FF 88 3F 0A B6 FB 95 51 C2 61 
      CC F5 87 BA 34 B4 A4 CD BB 29 DC 68 42 0A 9F E6 67 4C 5A 3A 
      74 00 00 01 8A 6E 87 41 91 00 00 04 03 00 46 30 44 02 20 07 
      29 B1 10 87 A2 59 63 4A 67 D1 2D 52 FB 54 7C 54 74 A3 78 57 
      D2 69 47 4C E6 30 62 63 F7 DF 67 02 20 61 80 C8 3F A6 09 3B 
      01 39 6A 95 87 E3 4B 8C 82 6F 8D E3 FF 23 FA B7 CB B8 E6 C4 
      B5 FA 1E D0 C1 00 75 00 DA B6 BF 6B 3F B5 B6 22 9F 9B C2 BB 
      5C 6B E8 70 91 71 6C BB 51 84 85 34 BD A4 3D 30 48 D7 FB AB 
      00 00 01 8A 6E 87 41 F5 00 00 04 03 00 46 30 44 02 20 4A 3F 
      2B 50 5C AC 4E E1 95 F1 68 4E C2 64 0F 91 D5 A1 94 D9 63 99 
      6A CB 7A 24 5A 3A 8A 14 F5 10 02 20 76 04 0D 80 FE 10 8F C8 
      7A A2 12 99 F8 9D F1 4D 73 2A BD 19 16 F4 74 71 4D 0D 17 CB 
      63 79 5C 88 00 75 00 EE CD D0 64 D5 DB 1A CE C5 5C B7 9D B4 
      CD 13 A2 32 87 46 7C BC EC DE C3 51 48 59 46 71 1F B5 9B 00 
      00 01 8A 6E 87 41 DA 00 00 04 03 00 46 30 44 02 20 7C F3 87 
      92 35 9E 5A A3 C6 AC 6D 43 05 75 43 A4 AD A5 CB 04 25 BF B7 
      9A 3C E8 F2 65 98 07 FD BF 02 20 3A FB 16 55 CB FC BF 81 12 
      9A 1A CC 2D C4 AC E4 83 4C 44 E2 35 D8 B6 18 AC 8C D1 52 AD 
      4E 05 27 


Fingerprints : 

SHA-256 Fingerprint: FC 7F FF B2 E7 6E F3 6E 0A 8E 61 6D CA EB 8A 83 E6 FC 32 B3 
                     CC 85 B1 1A 6B 50 62 2B 40 40 9C 25 
SHA-1 Fingerprint: A7 9D E8 FA 6E EE 2B 32 9B DE 13 45 4D C4 AF 3D 95 DF B6 1D 
MD5 Fingerprint: 5B 93 19 68 BA 35 C2 53 A7 CF AC 2B C0 58 DE 2D 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIGLjCCBRagAwIBAgIRALKUhb3yiRgpSL+EelOdBTswDQYJKoZIhvcNAQELBQAwgY8xCzAJBgNVBAYTAkdCMRswGQYDVQQIExJHcmVhdGVyIE1hbmNoZXN0ZXIxEDAOBgNVBAcTB1NhbGZvcmQxGDAWBgNVBAoTD1NlY3RpZ28gTGltaXRlZDE3MDUGA1UEAxMuU2VjdGlnbyBSU0EgRG9tYWluIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBDQTAeFw0yMzA5MDcwMDAwMDBaFw0yNDA4MDUyMzU5NTlaMBgxFjAUBgNVBAMMDSoudml0YXAuYWMuaW4wggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCD8XCXBV3hQ4/r6z/8BdnOLUsjOT6zhITD01qbxmdcEcnWTdhXdu3zjWO11OjVxfQkOJHH3HZJ+OfkPWLwimq1BVh4mQ2RMEjfevTXu4jFP4jaCsLfLJP/ODMbug0vrujCrCjAhUNJ+AOsrN4umXCdAr7OtGydtMMgaOn9GcexwAjR0mZvksdsvGMX34gLvwz+4wTwYKAo7vXEvN1BzgE3k9WVVh26mGAmMDIrnjpw7ysAmeAyW81/V4se6FYNFR6XacoXX6dmB/S/5tXuc/j+/1EErrUku40Ih5Km5NBMVf0KhW0luErG1o/giATZT1G3OTCa6YmlqWm9Jn/n6nUFAgMBAAGjggL5MIIC9TAfBgNVHSMEGDAWgBSNjF7EVK2K4Xfpm/mbBeG4AY1h4TAdBgNVHQ4EFgQUw7HXPwq/MxKHlmxJpIQ5oYSdBSQwDgYDVR0PAQH/BAQDAgWgMAwGA1UdEwEB/wQCMAAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMEkGA1UdIARCMEAwNAYLKwYBBAGyMQECAgcwJTAjBggrBgEFBQcCARYXaHR0cHM6Ly9zZWN0aWdvLmNvbS9DUFMwCAYGZ4EMAQIBMIGEBggrBgEFBQcBAQR4MHYwTwYIKwYBBQUHMAKGQ2h0dHA6Ly9jcnQuc2VjdGlnby5jb20vU2VjdGlnb1JTQURvbWFpblZhbGlkYXRpb25TZWN1cmVTZXJ2ZXJDQS5jcnQwIwYIKwYBBQUHMAGGF2h0dHA6Ly9vY3NwLnNlY3RpZ28uY29tMCUGA1UdEQQeMByCDSoudml0YXAuYWMuaW6CC3ZpdGFwLmFjLmluMIIBewYKKwYBBAHWeQIEAgSCAWsEggFnAWUAdQB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYpuh0GRAAAEAwBGMEQCIAcpsRCHolljSmfRLVL7VHxUdKN4V9JpR0zmMGJj999nAiBhgMg/pgk7ATlqlYfjS4yCb43j/yP6t8u45sS1+h7QwQB1ANq2v2s/tbYin5vCu1xr6HCRcWy7UYSFNL2kPTBI1/urAAABim6HQfUAAAQDAEYwRAIgSj8rUFysTuGV8WhOwmQPkdWhlNljmWrLeiRaOooU9RACIHYEDYD+EI/IeqISmfid8U1zKr0ZFvR0cU0NF8tjeVyIAHUA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGKbodB2gAABAMARjBEAiB884eSNZ5ao8asbUMFdUOkraXLBCW/t5o86PJlmAf9vwIgOvsWVcv8v4ESmhrMLcSs5INMROI12LYYrIzRUq1OBScwDQYJKoZIhvcNAQELBQADggEBAEeVbcbxsbc5+Yk3ssnlYuA2nEYM8nZlI2wKOMK3gEoW6Mzte/s/ijj3gNkG4suqMuJOBZTQPr8+PyCo5A4yOseOWA5+WcsCzbN2belwlV4N01BKFoaghJlR1/wiBlovaTPpLsGaQB0EEJJd+ZqtWPwO6lfOYnEp6VjDIem7eiB6bjYLSOoUuher0Ti6HjlRgg90i8ar/U4q4BOkq12x0xNaXyqsuWYiaAaI96g72TQ+AZPJLGbmgK0qfScP4ObboaKU1b2ewsJI8C07D470KNwoN76WG4ahGks/WaZXCgg5uVo0QwBnRYqQgbJSSx3nOczss9Ic7f5yGDEhrn8M1jQ=
-----END CERTIFICATE-----","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"11219","","","None","vtop2.vitap.ac.in","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open","","","","","","None","","","","2009/02/04","2023/09/25","","",""
"11219","","","None","vtop2.vitap.ac.in","tcp","8008","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 8008/tcp was found to be open","","","","","","None","","","","2009/02/04","2023/09/25","","",""
"11936","","","None","vtop2.vitap.ac.in","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 3.0
Confidence level : 56
Method : MLSinFP

 
The remote host is running Linux Kernel 3.0","","","","","","None","","","","2003/12/09","2022/03/09","","",""
"12053","","","None","vtop2.vitap.ac.in","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.","n/a","","
220.158.183.5 resolves as 220.158.183.5.static-andharapradesh.powertel.in.183.158.220.in-addr.arpa.
","","","","","","None","","","","2004/02/11","2017/04/14","","",""
"12085","","5.0","Medium","vtop2.vitap.ac.in","tcp","443","Apache Tomcat Default Files","The remote web server contains default files.","The default error page, default index page, example JSPs and/or example servlets are installed on the remote Apache
Tomcat server. These files should be removed as they may help an attacker uncover information about the remote Tomcat
install or host itself.","Delete the default index page and remove the example JSP and servlets. Follow the Tomcat or OWASP instructions to 
replace or modify the default error page.","http://www.nessus.org/u?4cb3b4dd
https://www.owasp.org/index.php/Securing_tomcat","
The following default files were found :

https://vtop2.vitap.ac.in/docs/
https://vtop2.vitap.ac.in/examples/servlets/index.html
https://vtop2.vitap.ac.in/examples/jsp/index.html
https://vtop2.vitap.ac.in/examples/websocket/index.xhtml

The server is not configured to return a custom page in the event of a client requesting a non-existent resource.
This may result in a potential disclosure of sensitive information about the server to attackers.
","","5.3","","","","Medium","","","","2004/03/02","2019/08/12","","",""
"19506","","","None","vtop2.vitap.ac.in","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.6.1
Nessus build : 20021
Plugin feed version : 202310210906
Scanner edition used : Nessus Home
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : AICS Main Website
Scan policy used : Basic Network Scan
Scanner IP : 192.168.29.20
Port scanner(s) : nessus_syn_scanner 
Port range : default
Ping RTT : 131.490 ms
Thorough tests : no
Experimental tests : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin launched)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2023/10/22 14:59 India Standard Time
Scan duration : 1253 sec
Scan for malware : no
","","","","","","None","","","","2005/08/26","2023/07/31","","",""
"20108","","","None","vtop2.vitap.ac.in","tcp","443","Web Server / Application favicon.ico Vendor Fingerprinting","The remote web server contains a graphic image that is prone to
information disclosure.","The 'favicon.ico' file found on the remote web server belongs to a
popular web server. This may be used to fingerprint the web server.","Remove the 'favicon.ico' file or create a custom one for your site.","","
  MD5 fingerprint : 4644f2d45601037b8423d45e13194c93
  Web server      : Apache Tomcat or Alfresco Community
","","","","","","None","","","","2005/10/28","2020/06/12","","",""
